ID,Time,Selected,BOD,City,State_Region,Country,Date_Leave_Country,Gender,Current_Situation,Type_of_Internet,Device_used,School_Name,Academic_career,Pre_Knowledge_Data,Course_Wish_Join,Dedicate_Learning_Time,Personal_Professional_Goals,Reason_Right_Person,Personal_Professional_Challenges,Others
mmdt2024.001,7/20/2024 0:52:05,Yes,1992,Mandalay,Mandalay,Myanmar,1/1/2030,Female,Women in Tech project (Women who became unemployed due to the political conflicts),Home Wi-Fi,My own computer,NTU(Singapore),Graduate (Degree holder),1.0,Machine Learning,more than 5 hours/week,"I would like to be data scientist. I am doing self study on sql, python, power bi via you tube. I believe this program will boost my goal to be a data scientist to next level from basic . Thank you!","I am deeply passionate about pursuing a career in data science. My motivation goes beyond personal career aspirations; I am driven by a desire to support and uplift Myanmar students who share this same ambition. Given the many challenges faced in Myanmar, I aim to be a guiding hand and a source of inspiration for aspiring data scientists in my community. This scholarship will not only enable me to achieve my own goals but also empower me to contribute significantly to the growth and development of future data scientists in Myanmar.","As an introvert, I often find it challenging to assert myself in professional settings. However, I am committed to excelling in my career. In my previous job, I faced a significant challenge while validating a test case for firmware. Despite my natural inclination to work quietly, I took the initiative to present my findings to the relevant stakeholders. This presentation was crucial in identifying the root cause of the issue. Through this experience, I learned the importance of stepping out of my comfort zone and effectively communicating my insights for the benefit of the team.",A friendly person who just want to be happy
mmdt2024.002,7/20/2024 1:24:27,Yes,1999,Yangon,Yangon,Myanmar,1/1/2030,Female,University student (who temporarily paused learning due to the poltical instability),Home Wi-Fi,My own computer,"University of Computer Studies, Yangon",Undergraduate Student,3.0,Associate Data Analyst in SQL,2-3 hours/week,"After the attending of this program, I hope I will get knowledges about data analysis and data science. My goal is to become a data analyst. If I have a chance to join this course, I will get many knowledges and also I will get a community about data science. This will help to improve not only my career and also my skill.","Currently I working as a consultant like business analyst at ERP software company. Sometimes I do some update data for client at SQL. After doing this, I know myself. I'm also interesting in data. Therefore, I decided to learn about data. At that time, I founded this program at Facebook. I also interested this program and want to join.I'm sure this program will help me to improve my skill and career. Due to my reason, I think I'm the right person to receive this scholarship.","Now I'm facing the difficult about my work. I have no senior and only have project manager.   And PM is also new. Sometimes when I have a client's issue about software, PM doesn't know. That time is the worst. At that time, I found myself the reason of issues and solved the issues. Sometimes I contact to the developers and other consultant at our head office. This is my current professional challenge I have faced and this is how overcame it by myself.",Currently No
mmdt2024.003,7/20/2024 1:27:53,Yes,1986,Taungoo,Bago,Myanmar,1/1/2030,Female,"Underemployed (low wage) or Intern (No salary), Women in Tech project (Women who became unemployed due to the political conflicts), Freelance coding teacher for kids",Home Wi-Fi,My own computer,Chulalongkorn University,Graduate (Degree holder),2.0,Data Scientist using Python,3-5 hours/week,My goal is to become more confident at the end of the program so that I can apply for a job as a data scientist and share my newfound knowledge with others. I can accomplish these personal and professional goals using the knowledge and skills I'll get from taking this course.,"I am the ideal recipient of this award since I am passionate about data science and have a solid foundation in research. I am resolved to revitalize my career despite obstacles brought about by the present political climate, which has left me unemployed and cut off from research. With the help of this scholarship, I will be able to further my career as a data scientist and rebuild my confidence, as well as make a significant contribution to the profession.","One big obstacle I had to overcome was the effect of the political climate, which made me unemployed and cut off from research while also making me less confident to apply for new jobs. To get over this, I started teaching children, something I've always wanted to do, and concentrated on expanding my knowledge to teach them. This kept me motivated, boosted my self-esteem, and helped me be ready to go back into the workforce and continue my research career.","In the event that this scholarship is granted, I pledge to finish the program and give back to the community by educating young people who lack direction and inspiration. I would like to work with your team in the future to help and mentor these young people."
mmdt2024.004,7/20/2024 1:49:02,Yes,1997,Bangkok ,Others,Outside Myanmar,5/3/2024,Male,"Unemployed, Migrants (Leave the country due to the Myanmar Conscription Law), Unaccessible to apply for any jobs due to the identification matters in Bangkok ",Mobile data,"My own computer, Mobile Phone / Table",Yangon University of Distance Education (2014-2018),Graduate (Degree holder),1.0,Data Scientist using Python,more than 5 hours/week,"I used to work in Market Research and Development Field in Myanmar for almost two years in local market research agency and Multi-national Company alongside 2022 July to 2024 March. Due to Conscription Law and being a CDM civil service personnel (Foreign Economic Relations Department), I left Myanmar in May and have been relocating in Bangkok since then. I almost want to be a data professional who can be able to provide better sights for businesses at the presence and for the country's development programs in the future's post revolutionary period. Being a data scientist and future professional, I am able to bring best credits to my country.I choose the program ""Data Scientist using Python"" is that I have to pave my career toward Data Science field as being adaptable to learn new data tech and with this free course drives me success towards of being me as a data scientist; after that data engineer; step by step. Besides, under the guidance of professor, I am more adaptable and getting into becoming a data scientist. Hence, I have applied for this scholarship.","My benefactors (godparents) and my family supported me to my vocational education at SMVTI up to the age of 19. Since then, SMVTI, TTS and other agencies supported me to become who I am today and I would never let them get regretted. I am a man of his words and trustworthy for the tasks at any given. Alongside my careerpath from Government Staff towards data Professional, I have been built by myself and benefactors and made it happened as they have expected. I firmly believe and guarantee that I am right for this scholarship as being consistent, trustworthy and perseverant. Hence, I believe I am best fit with this scholarship.","Alongside my career, I have bumped into difficulties in terms of financial instabilities; competitive market and being less skillful. Even though I want to be an engineer after learning Mechatronics at SMVTI in 2017, I could not move forward in studying Engineering Program as I am born under Tourist Guide Family and parents can't support me to further study to be an engineer. I never lose hope and learnt becoming a tour guide in 2017 but never give up to become an engineer. However, market competitiveness in service industry drives me towards to become a civil service personnel in research and development field. Even though difficulties bumped in my career in 2021 coup,life gives me chances back to be a technician or professional with Data or Information in 2022. I became a research analyst and got into with Data Field. Even though my career  has been destoryed by regime again in 2024 and lost hope, MMDT has given a chance to keep moving forward in data field. Hence, even though I have bumped by challenges and difficulties alongside my career, being consistency and perseverance always overcome any challenges and drive me towards success.","Being a CDM personnel with great consistency and perseverance, I guarantee that I do learn my best under the guidance of the professor and become a data scientist."
mmdt2024.005,7/20/2024 1:52:59,Yes,1999,Yangon,Yangon,Myanmar,1/1/2030,Male,Underemployed (low wage) or Intern (No salary),Home Wi-Fi,My own computer,Liberal Arts Program (BARS) at Myanmar Institutes of Theology,Graduate (Degree holder),1.0,I want to start from the basics to the level I can do data visualization and data analysis with Python.,more than 5 hours/week,"My ultimate goal in 2025 is to be a FP&A professional. I believe one of the roles that FP&A professional has to play is a data scientist. For that I do not have this skill yet. I know it take time and a good guidance from a great teacher. I strongly believe that I can build a solid foundation on data science skills with the resources from data camp and your great mentorship. And I decide to learn Financial analysis knowledge while I am learning along with program. That's why this program will help me enormously. 
","I did not have a chance to work as permanent employee till now. I am still a trainee in a company. The most fascinating things about being a trainee is to learn new things everyday and getting the experience I need for my career. For a trainee, buying subscription from data camp is not an easy decision to make with this high inflation of MMK currency. And I have to look after the family as an eldest son. I really need to learn from  these great resources and your valuable mentorship to build this data science skillsets. ","The biggest challenge I have right now is saying a lot of goodbyes to my friends and work colleagues. All the them are trying to leave the country to pursue their better own lives. I am feeling stuck and left alone. For me, my situation does not give me any chance to leave the country right now because it costs a lot of money. That is why I need to build strong skillsets to pursue my professional career outside of Myanmar. Of course, I am so miserable to be alone right now. A quote you shared in one of your Facebook post kind of remind me mindful during these days which is ""Wish you have ""the serenity to accept the things you cannot change, the courage to change things you can, and the wisdom to know the difference"". It helps to keep on building these necessary skillsets no matter these situations give me bad times. Learning is  the only thing which is in my control right now and it is the only thing I will do. Thank you so much for sharing. 
","My manager said that I am highly motivated and possess a growth mindset. I think I just need a great mentorship and the skillsets to improve my career. With this program, I can definitely say that I can fulfill my goals in 2025. One last thing, I promise I will stick with the program till the end if I get selected. "
mmdt2024.006,7/23/2024 11:47:11,waiting list ,1995,Mandalay,Mandalay,Outside Myanmar,5/25/2022,Female,"Unemployed, University Student (Public University)","Home Wi-Fi, Office/school Wi-Fi, Mobile data","My own computer, Mobile Phone / Table","Okayama University, Japan",Graduate (Degree holder),3.0,Data Scientist using Python,3-5 hours/week,I want to enhance my data science and machine learning skills and become more confident in applying these techniques to real-world problems. Free access to this course will provide me with the necessary knowledge and networking opportunities without any financial burden.,"I am the right person to receive this scholarship because of my strong academic background, passion for data science, and commitment to applying my skills to solve real-world problems. My experience in teaching and research has equipped me with the ability to learn and innovate continuously. This scholarship will enable me to enhance my expertise and contribute significantly to the field of data science, benefiting both my professional growth and the broader community.","For me, studying abroad was a significant challenge as I struggled with homesickness and adapting to a new culture while being away from my family. I overcame this by building a support network with fellow international students, immersing myself in the local culture, and staying connected with my family through video calls. Additionally, I mainly focused on my research study and started crocheting as a hobby. This experience made me more resilient and adaptable.
","In addition to my academic achievements, I actively volunteer by teaching basic computer science to young learners and supporting various educational activities. These experiences have enhanced my leadership and communication skills."
mmdt2024.007,7/20/2024 2:26:52,Yes,1981,Mandalay ,Mandalay,Myanmar,1/1/2030,Female,Women in Tech project (Women who became unemployed due to the political conflicts),Home Wi-Fi,My own computer,Monywa University of Economics.,Graduate (Degree holder),3.0,Data Analytics using R,more than 5 hours/week,I want to change career from teaching to data analyst. So I'll be very happy to achieve by the end of this program.,I am right person to receive this scholarship because I am very interested in data analysis.,My personal challenge is to get a stable internet because of breaking internet in Sagaing region. So I moved to Mandalay for leaning and teaching.,You should know my teaching experience is over 10 years in statistics department.
mmdt2024.008,7/20/2024 2:29:40,Yes,1998,Hpa Khant,Others,Outside Myanmar,1/7/2022,Female,"Unemployed, University Student (Private University)",Office/school Wi-Fi,My own computer,Asian Institute of Technology,Graduate (Degree holder),3.0,Associate Data Analyst in SQL,more than 5 hours/week,"Personal Goal: to have a strong knowledge and skills in data analytics and sql related fields

Professional Goal: to hold a strong portfolio to show for my future employment

I expect that this course can fill my knowledge gap in data analytics  and SQL.","I think I am the right person to receive this scholarship because of the followings reasons:

1. I am a woman who is actively running to achieve my personal and carrer goals in AI related fields.
2. I am active learners, willing to learn new skills and knowledge to be improved and have a strong commitment to achieve my targets and goals.
","Before, I think every AI related carrer needs a strong programming skills and now (according to my knowledge only) I realize that there have AI related areas that I can adapt without requiring a strong programming skills.

I am weak at programming even though good at system design and system analysis. I brave myself to become a data scientists and I am now trying to be able to do coding tasks with python.

For the moment, I am targeting on the AI related area that doesn't require a strong programming skills.",
mmdt2024.009,7/20/2024 2:35:08,Yes,1996,Taunggyi,Others,Myanmar,2/24/2024,Female,Unemployed,Home Wi-Fi,"My own computer, Mobile Phone / Table","University of Computer Studies, Taunggyi",Graduate (Degree holder),2.0,Data Scientist using Python,more than 5 hours/week,"I am currently a developer, but I have experience with data tasks like reporting, building database structures, and querying. I enjoy this type of work and want to switch to a data career. By the end of this program, I want to build a strong foundation in data science, including skills in data analysis, machine learning, and data engineering. I also want to learn how to use important data tools like Python, SQL, and big data technologies to become a data scientist. Free access to this course will give me structured learning, hands-on projects, and chances to connect with experienced instructors and peers.","I am very committed to learning from this program and starting a career in data.This scholarship will help me gain important knowledge and skills without financial stress, allowing me to focus fully on my studies and connect with professionals. I am dedicated and eager to learn, and I believe this opportunity will help me achieve my goal of becoming a data scientist. 
I may not be the most right person for this scholarship, as there are others who might need it more right now. I understand if I am not chosen, as I know others may benefit more from this opportunity. 
","At work, I struggled with public speaking and found it difficult to present my ideas clearly in meetings. To overcome this, I began by preparing presentation and practicing in front of colleagues for feedback. By regularly practicing, seeking feedback, and focusing on preparation, I became more confident and effective in my speaking. This experience taught me that preparation and practice are key to overcoming this challenges.",
mmdt2024.010,7/20/2024 2:46:50,Yes,1994,Bangkok,Others,Outside Myanmar,2/27/2024,Female,"Unemployed, Migrants (Leave the country due to the Myanmar Conscription Law)",Home Wi-Fi,My own computer,Technological University,Graduate (Degree holder),1.0,Data Scientist using Python,more than 5 hours/week,"I want to be a data scientist. Currently, I have one year experience of data analyst by especially using analytical tool Excel. I still don't have experience of using python for going forward my dream of being a data scientist. I believe that not only knowing tool but also professional knowledges will achieve after accomplish this course.","I am passion about data. After I resign my first job because of political issue in my country, I decided to change my career. After I reading and searching about data, I knew that my dream job is related to data. I realize that data is the most important thing in every sectors. Firstly, I started by self-learned. And then I joined some training. But now I can't join any paid training to chase my dream because I am in Thailand as an unemployed. I strongly believe that if I have a chance to learn from this course, my data journey will be better and I will have a chance a data network during training who also love data. I can give my commitment to finish until the final project. I will keep learning new technology using my skills and willing to help other data lover.",My personal challenge is thinking too much about future and worry about. I try to solve this problem by focusing in present. Try to pass by doing as much as I can without thinking unnecessaries.,"This is a short introduction about me.
I have three year experiences in Telecommunication as a Engineer at Mytel. I left my job immediately when military coup happened in 01/02/2021. After that I go back to my native town and learned about data. In 2023, I've got a data analyst job especially using Excel. I have one year experience as a data analyst. When military announced conscription law, I came to Thailand. Now already five months in Thailand without job.  Currently, I am facing rejection of my job applications. During these rejections and facing challenges, I would like to keep upskilling for my dream job."
mmdt2024.011,7/20/2024 2:51:05,Yes,1990,Chiang Mai,Others,Outside Myanmar,3/9/2024,Female,Unemployed,Home Wi-Fi,"My own computer, Mobile Phone / Table",Technological University Hmawbi,Graduate (Degree holder),1.0,Associate Data Analyst in SQL,3-5 hours/week,"By the end of this program, I hope to achieve several key personal and professional goals. Personally, I aim to enhance my data analysis and programming skills, to become more proficient in handling and interpreting complex data sets. Professionally, my goal is to transition into a data-focused role.
Free access to this course will be instrumental in accomplishing these goals by providing me with high-quality, structured learning resources that are otherwise financially out of reach according to my current situation as a person who has lost mid-way in my professional career. 
The curriculum will equip me with the necessary skills and knowledge to excel in the field of data science, thus opening new career opportunities and allowing me to stay competitive in the rapidly evolving job market. Additionally, the hands-on projects and real-world applications will enable me to build a strong portfolio, demonstrating my capabilities to potential employers and helping me to achieve my long-term career aspirations.
","I am the right person to receive this scholarship because I possess a strong determination to advance my skills and a clear vision for how this program will transform my career. Despite facing significant setbacks and losing momentum in my professional journey, I have remained committed to continuous learning and self-improvement. My background in technical consulting and business development has given me a solid foundation in analytical thinking and problem-solving, which are crucial in the field of data science.

Moreover, I am at a critical juncture where this scholarship can make a significant difference. Financial constraints have limited my access to high-quality education and resources, and this opportunity will provide the much-needed support to bridge that gap. By awarding me this scholarship, you will be investing in someone who is not only passionate about data science but also has the potential to make meaningful contributions to the field. I am eager to apply the knowledge gained from this program to real-world challenges and to help organizations make data-driven decisions that lead to impactful outcomes.
","One of the most significant challenges I faced was transitioning from a Sales engineer to IoT related technical consultant role, requiring me to move beyond my comfort zone and acquire new skills in attention to detail, excel skills, negotiation, and strategic planning. Initially overwhelmed, I adopted a proactive learning approach and learned from the seniors. By setting clear, achievable goals and breaking them into manageable tasks, I steadily built my confidence and competence. Through perseverance and continuous learning, I successfully transitioned into the new role, exceeding my targets and contributing significantly to the company's growth. This experience taught me the importance of resilience, adaptability, and stepping out of my comfort zone.","I am a passionate learner who has always embraced challenges as opportunities for growth. Having navigated a diverse career path, from a Sales Engineer with a Mechanical Major to the IoT sector, a technical consultant role in the business development area, I've developed a strong foundation of skills and adaptability. My journey hasn't been without its hurdles, but each has taught me resilience and perseverance. My current transition into data science reflects my dedication to continuous improvement and my commitment to staying ahead in an ever-evolving job market. This scholarship represents a crucial step in my journey, allowing me to enhance my expertise and make a positive impact in my field. Your support would not only help me achieve my goals but also enable me to inspire and assist others on similar paths."
mmdt2024.012,7/20/2024 2:54:08,Yes,1995,Yangon,Yangon,Myanmar,5/24/2024,Female ,"Currently, waiting for the start of class of Master in Information Management (Minor in DSAI) at a private university in Thailand. ",Office/school Wi-Fi,My own computer,Asian Institute of Technology ,Graduate (Degree holder),2.0,Data Scientist using Python,more than 5 hours/week,"Personal goal : I hope I will gain more comprehensive expertise in programming, data cleaning, exploration, modeling techniques and visualization and will be able to apply theoretical concepts and hands-on experience gained by end of this course to my own projects. 
Professional goal: I want to be a freelance data scientist, creating a portfolio of projects using real-world datasets which can provide actionable insights to users. 
Because of free access to DataCamp, I will be able to focus only on my study with no worries on my budget limitations. Due to current exchange rate conditions, free access to DataCamp is a huge impact for my passion to become a data scientist. 
","To be honest, I don't know that this program will provide scholarship. I just apply for this program because I have faith in the program coordinators (especially Teacher Dr. Myo Thida and her team). I believe that under the guidance of Tr. Myo Thida, I will gain more fundamental and advanced theoretical concepts required in Data Science in a way of more structured and disciplined rather than I learn by myself in DataCamp.
Even if I do not receive the scholarship and need to pay fees, I am desperate to be one of the participants to this program because it will be a great opportunity once in a blue moon in my life to study with such a great group of mentors in DataCamp. 
","My biggest professional challenge was that I was behind the technology due to working environment and job nature.I faced with task inefficiency and customer complaints when we have to deal with big and complex data because the organisation I worked for wasn't interested in encouraging the use of project management tools and data analysis skills. Once I realised that I quit the job and explored the pathways to enter data science fields, read Facebook posts about it.Thanks to the Facebook posts, I realized how data science skills can solve the problems that I faced with my previous work and also got the roadmap to become a data scientist and I started learning python programming for data science , ML, Maths for ML through Coursea (because DataCamp premium is not affordable for me when I am unemployed) while I am waiting for the start of my university. Here another challenge in Coursea is , as I don't have proper mentors , I cannot ask questions and I cannot practice theory to the small quizzes. Coursea only has multiple choice questions at the end of each topic module although there will be a project at the end of course. ",Nothing else. I have fully answered all the questions and I have demonstrated my current studies and my passion for data science journey. 
mmdt2024.013,7/20/2024 3:03:27,Yes,1998,Yangon,Others,Outside Myanmar,4/26/2024,Male,"Underemployed (low wage) or Intern (No salary), Migrants (Leave the country due to the Myanmar Conscription Law)",Home Wi-Fi,My own computer,Strategy First University,Graduate (Degree holder),4.0,Data Scientist using Python,3-5 hours/week,"My goal is to become a junior data scientist by the end of this program, having worked as a data analyst previously. My own objective is to have a deeper understanding of data modeling, advanced statistical techniques, and machine learning. My professional goal is to use these abilities to create predictive models, streamline business procedures, and encourage data-driven decision-making in my company.

Having free access to this course will be crucial to my success in achieving these objectives. It will allow me the chance to work on actual projects, learn from professionals in the field, and have practical experience with state-of-the-art technologies and procedures. My technical expertise and analytical skills will improve as a result, making it easier for me to go into a Data Scientist position and increase my success rate.
","I am the ideal candidate for this scholarship because of my solid background in analysis and my determined desire to become a data scientist. I have a strong background in data extraction, manipulation, and analysis from my vast experience working as a data analyst in the marketing and healthcare industries. My background in digital marketing along with my familiarity with programs like Tableau, SQLite, and Google Sheets shows that I am capable of managing intricate data projects.

I'll be able to get the advanced training required for a Data Scientist position thanks to this grant. I'll take full advantage of this chance because I'm committed to lifelong learning, which will help me advance my career and influence important business decisions.","For a call center project, managing and analyzing a sizable, unstructured dataset was one of the biggest professional problems I had to tackle. The patient records, treatment results, and other metrics included in the dataset were essential for spotting patterns and enhancing patient care. The study was made more difficult by missing values and inconsistent data that was dispersed over several sources.

I started by creating a thorough preprocessing and data cleaning plan in order to get beyond this obstacle. To verify consistency between sources, fill in missing values, and standardize the data, I utilized Python. I then used Streamlit's advanced data visualization feature to find trends and insights. In order to confirm the results and make sure they could be put into practice, I also worked closely with the healthcare team.

With perseverance, technological know-how, and productive teamwork, I was able to turn the disorganized dataset into a useful tool that enhanced patient outcomes and informed decision-making. My ability to solve problems has improved as a result of this experience, which also reaffirmed the value of careful data management and collaboration when taking on challenging initiatives.
",
mmdt2024.014,7/20/2024 3:19:04,Yes,1984,Mandalay ,Mandalay,Myanmar,1/1/2030,Male ,Unemployed,Home Wi-Fi,My own computer,Yangon Technological University ,Graduate (Degree holder),0.0,Data Scientist using Python,more than 5 hours/week,"As a beginner in Data Science, I would like to describe my goals as short-term and long-term objectives.
By taking this course, I think I have an opportunity to achieve self-improvement from understanding data science field, career networking and/or friendship, and of course a certificate. 
For my long-term objectives, I am willing to change my career as a data scientist. And also, I think there is weakness about data in Myanmar. To be honest, I want to contribute as much as possible to the development of our country.","To tell truth, I think of myself as a right person for no reason. Confirming myself as the right person has always been a difficult question for me. 
One thing I can promise is that I will do my best.",,
mmdt2024.015,7/20/2024 3:19:07,Yes,1998,Yangon,Yangon,Myanmar,1/1/2030,Female,"Unemployed, University student (who temporarily paused learning due to the poltical instability)",Home Wi-Fi,My own computer,Mandalay Technological University,Undergraduate Student,1.0,Data Analytics using Python,3-5 hours/week,"As job vacancies become lesser than before, it is difficult to get a job for an undergraduate student like me with no degree and no experience. Therefore, I come to think of doing something. I kind of searching free learning sources and I found this program on Facebook. I would like to change my career and improve my skills to show everyone that I can get a job without having a degree. And I hope taking this program not only benefits me with my personal improvement but also equips me with the necessary professional skills to achieve my goal. This will not only open up job opportunities for me but also it is my investment in my future success providing me with the necessary skills. ",တီချယ် မင်္ဂလာပါရှင် ဒီ scholarship ကို လိုအပ်တဲ့သူတွေအများကြီးထဲမှာ ထပ်ရွေးခံရဖို့ဆိုတာ မလွယ်နိုင်ပါဘူး တီချယ် သမီးလိုပဲ အမျိုးမျိုးသော နေရာကနေ လာရောက် လျှောက်ထားတဲ့သူတွေလဲ အများကြီးမို့လို့ပါ။ သမီးက လက်ရှိမှာ career အသစ်ကို စတင်လျှောက်လှမ်းနေတဲ့သူဖြစ်ပါတယ် တီချယ်ရှင့် အကယ်လို့သာ ဒီ program ကို join ဖြစ်ခဲ့မယ်ဆိုရင် သမီးအတွက် personally အများကြီး အထောက်အကူဖြစ်ပြီးတော့ သမီးရဲ့ career မှာလဲ အများကြီးကို တိုးတက်ပြောင်းလဲစေမှာ ဖြစ်ပါတယ်။ ,မင်္ဂလာပါ တီချယ် မြန်မာလိုပဲ ရေးလိုက်ပါမယ်ရှင် ကိုယ်ကိုယ်တိုင်အနေနဲ့ ကြုံတွေ့ခဲ့ရတဲ့ challenge လေးတွေထဲက တစ်ခုကို ပြောပြချင်ပါတယ်ရှင့် သမီးကတော့ မန္တလေးနည်းပညာတက္ကသိုလ် Mechatronics မေဂျာမှာ နောက်ဆုံးနှစ်နဲ့ ကျောင်းနားထားတဲ့သူပါ တီချယ် တီချယ်နဲ့လဲ ကျောင်းကိုလာတုန်းက သင်ကြားဖူးသူတစ်ယောက်ပါ တီချယ် သမီးတို့လို degree မကိုင်ထားတဲ့သူတွေအနေနဲ့ လုပ်ငန်းခွင်ထဲရောက်ရင် အမြဲတမ်း ဘွဲ့မရလို့ ဒီလစာပဲ ရတာဆိုတဲ့ စကားမျိုးအမြဲကြားခဲ့ရပါတယ် တီချယ် အဲ့လိုကြားတိုင်းလဲ ဘာမှပြန်မပြောနိုင်ခဲ့ပါဘူး သမီးမှာ လိုအပ်တဲ့ skills တွေရှိမနေသေးလို့ဆိုပြီး ကိုယ့်ကိုယ်ကိုပဲ အပြစ်တင်မိပါတယ်.. တစ်ကယ်လဲ လမ်းပျောက်နေခဲ့ပါတယ် တီချယ် ဘာလုပ်လို့ ဘာကိုင်ရမှန်း မသိပဲ ဟိုဟာလုပ်ရနိုး ဒီဟာလုပ်ရနိုး အခြေအနေတွေလဲ ရှိခဲ့ဖူးပါတယ်.. အခုလဲ အလုပ်ကထွက်ပြီး ကိုယ့်ကိုယ်ကို တိုးတက်အောင်လုပ်ရမယ် ဖြည့်စရာရှိတဲ့ skills တွေ ဖြည့်ရမယ်ဆိုတဲ့စိတ်နဲ့ပဲ တစ်ခုခုတော့ ရအောင်လုပ်ရမယ်ဆိုပြီး တီချယ့်ရဲ့ program လေးကို တွေ့ပြီး ရအောင် ကြိုးစားမယ် တစ်ခုခုဖြစ်ရမယ်ဆိုတဲ့ စိတ်နဲ့ join ဖြစ်ခဲ့တာပါ တီချယ် ဘွဲ့မရလဲ ကိုယ့်မှာ skills သာရှိနေရင် ဘယ်နေရာရောက်ရောက် လက်မထောင်နိုင်တယ်ဆိုတာကို သက်သေပြချင်ပါတယ် တီချယ်,သမီးက အခုမှ Data နဲ့ပတ်သက်ပြီး ပထမဆုံး စတင်ထိတွေ့မယ့် သူဖြစ်ပါတယ် တီချယ် လက်ရှိမှာတော့ သမီးက ဘာမှ မဟုတ်သေး/မဖြစ်သေးပါဘူး တီချယ်  ဒါပေမယ့် ဒီ program လေးကနေတဆင့် သမီးထဲထဲဝင်သိဝင်ဝင်သိချင်/နားလည်ချင်တဲ့ Data field ထဲကို  ဒီ program မှာပါဝင်မယ့် ဆရာ/ဆရာမ သူငယ်ချင်းတွေနဲ့အတူ သွားချင်ပါတယ် တီချယ် 
mmdt2024.016,7/20/2024 3:23:03,Yes,2000,Yangon,Yangon,Myanmar,1/1/2030,Male,"Unemployed, University student (who temporarily paused learning due to the poltical instability)","Home Wi-Fi, Mobile data","My own computer, Mobile Phone / Table",West Yangon Technological University,Undergraduate Student,3.0,Associate Data Analyst in SQL,more than 5 hours/week,"I'm currently trying to pursue my career in data analytics now. Since I came from unrelated other engineering background, it would also have me gain access to this network with other people.","Since of 2021, I haven't been able to attend university due to Covid-19 and the coup and i have been trying to change my career ever since. But I didn't get a chance to do it because i was trying to help my parents. I feel like this is the right moment for me to get this scholarship because I'm dedicated into learning and I'm also learning free courses related to data analytics career at the moment. DataCamp is expensive for me to get access to it.","Recently, I attend some English class and I have trouble having to do presentation in front of too many people because I'm very introverted and very shy. I was able to overcome it by having too many practices and making beautiful presentation slides which made me able to gain my confidence without any worries.","I'm introverted but when i get to know people, I'm very fun. I try hard and my computer skills are good and I'm having fun solving SQL problems at the moment. "
